index ;typed ident;       identifier        ;typ;       coord1 (ICRS,J2000/2000)        ;Mag U ;Mag B ;Mag V ;Mag R ;Mag I ;  spec. type   ;#bib;#not
501;V514 CYG   ;V* V514 Cyg              ;cC*;20 46 12.5502233584 +45 28 43.015825654;     ~;12.57 ;11.84 ;     ~;     ~;K3             ;  29;   0
502;V510 MON   ;V* V510 Mon              ;cC*;06 47 26.9330231896 +02 31 01.444805612;     ~;14.13 ;     ~;     ~;     ~;~              ;  32;   0
503;V507 SCO   ;V* V507 Sco              ;Ce*;17 24 22.4067657307 -44 16 50.328352334;     ~;     ~;     ~;     ~;     ~;~              ;   5;   0
504;V504 MON   ;V* V504 Mon              ;Ce*;06 44 43.9472470372 -03 57 08.639906289;     ~;12.77 ;11.77 ;11.48 ;     ~;~              ;  30;   0
505;V500 SCO   ;V* V500 Sco              ;cC*;17 48 37.5007852193 -30 28 33.460678490;     ~;10.07 ; 8.81 ;     ~; 7.191;K0             ; 108;   0
506;V496 CEN   ;V* V496 Cen              ;cC*;13 03 10.6844889115 -60 52 38.874979399;     ~;11.03 ;10.00 ;     ~; 8.544;G5             ;  58;   0
507;V496 AQL   ;V* V496 Aql              ;cC*;19 08 20.7712150568 -07 26 15.882592498;     ~; 8.88 ; 7.79 ;     ~;     ~;F8/G0Iab/b     ; 156;   0
508;V542 SCO   ;V* V542 Sco              ;WV*;17 47 40.6814972947 -41 33 43.485501452;     ~;13.30 ;     ~;     ~;     ~;~              ;   3;   0
509;V541 OPH   ;V* V541 Oph              ;WV*;17 37 35.3984821699 -23 49 05.223070336;     ~;     ~;13.1  ;     ~;     ~;~              ;  12;   0
510;V532 SGR   ;V* V532 Sgr              ;WV*;17 58 50.8608472875 -35 05 31.194572670;     ~;     ~;     ~;     ~;     ~;~              ;   4;   0
511;V532 CYG   ;V* V532 Cyg              ;cC*;21 20 32.9004138272 +45 28 03.017255074;     ~;10.08 ; 9.11 ;     ~;     ~;F5             ; 100;   0
512;V526 MON   ;V* V526 Mon              ;cC*;07 01 53.6186125378 -01 07 51.452237915;     ~; 9.20 ; 8.67 ;     ~;     ~;F3III          ;  67;   0
513;V526 AQL   ;V* V526 Aql              ;Ce*;19 14 38.0977289730 +06 28 57.189984753;     ~;     ~;     ~;     ~;     ~;~              ;  18;   0
514;V600 AQL   ;V* V600 Aql              ;cC*;19 21 02.3456308417 +08 30 58.805711389;     ~;11.45 ;10.09 ;     ~; 8.204;F8v            ;  81;   0
515;V572 AQL   ;V* V572 Aql              ;WV*;20 02 32.6874210410 +00 42 50.052434145;     ~;11.70 ;11.01 ;     ~;     ~;~              ;  24;   0
516;V567 SCO   ;V* V567 Sco              ;Ce*;16 49 50.7412065682 -40 55 06.476018133;     ~;12.20 ;     ~;     ~;     ~;~              ;   7;   0
517;V558 OPH   ;V* V558 Oph              ;RR*;17 45 42.9962541885 +02 27 46.164109177;     ~;13.31 ;     ~;     ~;     ~;~              ;  11;   0
518;V556 CAS   ;V* V556 Cas              ;RR*;01 23 51.7525087730 +62 31 20.016263745;     ~;     ~;     ~;     ~;     ~;~              ;  13;   0
519;V555 SCO   ;V* V555 Sco              ;WV*;17 54 18.6931805783 -41 42 50.419970888;     ~;14.20 ;     ~;     ~;     ~;~              ;   6;   0
520;V554 OPH   ;V* V554 Oph              ;WV*;17 42 51.3452733116 -21 30 11.567351128;     ~;12.60 ;13.518;     ~;11.619;~              ;  20;   0
521;V554 CYG   ;V* V554 Cyg              ;cC*;20 07 21.1948580875 +40 10 41.186365816;     ~;15.33 ;     ~;     ~;     ~;~              ;  17;   0
522;V553 CEN   ;V* V553 Cen              ;cC*;14 46 33.6357510124 -32 10 15.268785469;     ~; 9.19 ; 8.49 ;     ~;     ~;G3Ib/II        ;  94;   0
523;V553 CAS   ;V* V553 Cas              ;Or*;01 08 10.9929707725 +62 16 11.691825162;     ~;     ~;     ~;13.27 ;     ~;~              ;   8;   0
524;V549 SCO   ;V* V549 Sco              ;WV*;17 51 00.5660325010 -40 25 22.664128331;     ~;14.10 ;     ~;     ~;     ~;~              ;   8;   0
525;V547 CYG   ;V* V547 Cyg              ;cC*;19 57 46.1005308133 +35 38 09.867682315;     ~;14.92 ;     ~;     ~;11.519;~              ;  33;   0
526;V641 CEN   ;V* V641 Cen              ;cC*;14 39 07.8523851092 -59 50 09.310180254;     ~;12.15 ;10.38 ;     ~;     ~;~              ;  15;   0
527;V636 SCO   ;V* V636 Sco              ;cC*;17 22 46.4807689518 -45 36 51.402120969;     ~; 7.67 ; 6.74 ;     ~; 5.654;F7/8Ib/II      ; 137;   1
528;V636 CAS   ;V* V636 Cas              ;cC*;01 32 43.2247655304 +63 35 37.698927235;     ~; 8.486; 7.176;     ~;     ~;G0Ib           ;  91;   0
529;V626 SGR   ;V* V626 Sgr              ;WV*;18 08 34.7603973078 -34 56 42.699421606;     ~;12.12 ;     ~;     ~;     ~;~              ;   7;   0
530;V621 CYG   ;V* V621 Cyg              ;cC*;21 32 40.4257415306 +49 12 45.046301527;     ~;12.89 ;11.74 ;11.38 ;     ~;~              ;  20;   0
531;V609 CYG   ;V* V609 Cyg              ;cC*;21 26 56.0224446742 +54 29 29.236730563;     ~;13.27 ;10.80 ;     ~; 8.703;~              ;  46;   1
532;V733 AQL   ;V* V733 Aql              ;cC*;19 57 33.0223467594 +11 02 37.241281216;     ~;10.96 ;10.09 ;     ~;     ~;K0             ;  57;   0
533;V708 SCO   ;V* V708 Sco              ;WV*;17 50 53.03 -34 35 09.4                ;     ~;     ~;14.231;     ~;12.375;~              ;   9;   0
534;V686 CEN   ;V* V686 Cen              ;LP*;11 31 37.4874738166 -61 03 21.436313266;     ~;     ~;     ~;     ~;     ~;M6             ;   8;   0
535;V659 CEN   ;V* V659 Cen              ;cC*;13 31 33.4103851030 -61 34 56.514647163; 7.57 ; 7.19 ; 6.49 ;     ~;     ~;F6/7Ib+B6V     ;  87;   1
536;V641 CYG   ;V* V641 Cyg              ;Ce*;21 39 09.9788412033 +46 43 31.687470343;     ~;     ~;     ~;     ~;     ~;~              ;   9;   0
537;V810 CEN   ;V* V810 Cen              ;LP*;11 43 31.1914404577 -62 29 21.826906299; 6.18 ; 5.83 ; 5.03 ; 4.27 ; 3.91 ;G0_0-IaFe1     ; 141;   0
538;V801 AQL   ;V* V801 Aql              ;WV*;18 58 58.2468528433 -06 30 45.661893624;     ~;     ~;     ~;     ~;     ~;~              ;  10;   0
539;V784 MON   ;V* V784 Mon              ;cC*;06 52 24.0013813401 +02 42 25.486687188;     ~;     ~;     ~;     ~;     ~;~              ;   5;   0
540;V782 CEN   ;V* V782 Cen              ;cC*;11 53 06.9373087858 -62 43 09.414507333;     ~;     ~;     ~;     ~;     ~;~              ;   7;   0
541;V775 OPH   ;V* V775 Oph              ;WV*;17 32 40.4102932262 +07 42 20.250411688;     ~;     ~;     ~;     ~;     ~;~              ;  12;   0
542;V773 SGR   ;V* V773 Sgr              ;cC*;17 54 17.6014567809 -26 45 29.567460467;     ~;14.64 ;     ~;     ~; 9.575;~              ;  33;   0
543;V765 AQL   ;V* V765 Aql              ;cC*;20 02 04.8345473147 -03 02 30.639055844;     ~;12.45 ;11.76 ;     ~;     ~;~              ;   5;   0
544;V742 CYG   ;V* V742 Cyg              ;WV*;20 02 32.7742855574 +37 46 34.740867053;     ~;     ~;     ~;     ~;     ~;~              ;  10;   0
545;V741 SGR   ;V* V741 Sgr              ;WV*;18 20 46.0559972210 -29 48 46.735814996;     ~;13.02 ;     ~;     ~;10.912;~              ;  11;   0
546;V738 SGR   ;V* V738 Sgr              ;WV*;18 10 54.3107860189 -31 55 20.571472710;     ~;     ~;     ~;     ~;     ~;~              ;   6;   0
547;V737 CEN   ;V* V737 Cen              ;cC*;14 37 11.9678353635 -62 00 39.242308318;     ~; 7.74 ; 6.77 ;     ~; 5.701;G0/1Ib         ;  55;   0
548;V912 AQL   ;V* V912 Aql              ;cC*;18 48 16.3226913842 +00 49 03.588773154;     ~;13.41 ;11.34 ;10.74 ;     ~;G0             ;   8;   0
549;V898 CEN   ;V* V898 Cen              ;cC*;11 11 20.3723350870 -54 33 25.252579504;     ~; 8.55 ; 7.97 ;     ~;     ~;F3III          ;  30;   0
550;V833 OPH   ;V* V833 Oph              ;WV*;17 50 17.5468539606 +11 38 25.826873335;     ~;     ~;     ~;     ~;     ~;~              ;  11;   0
551;V824 CAS   ;V* V824 Cas              ;cC*;00 22 31.2848083030 +63 01 58.956744919;     ~;12.65 ;11.06 ;     ~;     ~;~              ;   5;   0
552;VV CRU     ;V* VV Cru                ;cC*;12 23 31.7920855123 -64 28 15.205385458;     ~;     ~;     ~;     ~;     ~;~              ;  14;   0
553;VV CAS     ;V* VV Cas                ;cC*;01 51 07.0215868262 +59 53 17.573530831;     ~;11.85 ;10.73 ;     ~;     ~;F6             ;  77;   0
554;V995 SGR   ;V* V995 Sgr              ;WV*;17 59 46.9956718049 -29 57 21.715714608;     ~;     ~;13.379;     ~;11.731;~              ;   5;   0
555;V979 AQL   ;V* V979 Aql              ;cC*;19 32 07.1760857190 +03 00 45.535380624;     ~;     ~;     ~;     ~;     ~;~              ;   7;   0
556;V950 SCO   ;V* V950 Sco              ;cC*;17 37 37.5618771448 -40 48 48.753152900;     ~; 7.99 ; 7.26 ;     ~;     ~;F6Ib/II        ;  59;   0
557;V924 CYG   ;V* V924 Cyg              ;cC*;19 38 11.5847182091 +32 29 22.446712810;     ~;11.48 ;10.75 ;     ~;     ~;F8I            ;  67;   0
558;V916 AQL   ;V* V916 Aql              ;cC*;19 10 00.4157042243 +12 32 11.607393085;     ~;12.22 ;10.86 ;     ~; 8.908;~              ;  42;   0
559;VW CAS     ;V* VW Cas                ;cC*;01 05 48.2241282083 +61 45 17.773204544;     ~;11.92 ;10.67 ;     ~;     ~;K0             ;  65;   0
560;VX CRU     ;V* VX Cru                ;cC*;12 34 23.3525361318 -61 14 15.446194849;     ~;12.75 ;     ~;     ~;     ~;~              ;  35;   0
561;VX CAP     ;V* VX Cap                ;WV*;21 06 22.5080775291 -18 49 39.978169121;     ~;13.80 ;14.78 ;     ~;     ~;~              ;  21;   0
562;VW PUP     ;V* VW Pup                ;cC*;07 31 49.0896193144 -20 08 58.800460904;     ~;12.12 ;11.15 ;     ~;     ~;F5             ;  63;   0
563;VW MON     ;V* VW Mon                ;RR*;06 27 22.9076808175 +08 58 24.023420255;     ~;     ~;     ~;     ~;     ~;~              ;  19;   0
564;VW CRU     ;V* VW Cru                ;cC*;12 33 18.6685381795 -63 30 22.910835765;     ~;11.10 ; 9.87 ;     ~; 7.985;K0             ;  51;   0
565;VW CEN     ;V* VW Cen                ;cC*;13 33 59.0299132697 -64 03 19.999430004;     ~;11.60 ;10.36 ;     ~; 8.785;~              ; 100;   0
566;VX PUP     ;V* VX Pup                ;Ce*;07 32 36.6488974993 -21 55 49.531917879;     ~; 9.87 ; 9.32 ; 8.97 ;     ~;F3IV           ; 124;   0
567;VX PER     ;V* VX Per                ;cC*;02 07 48.4806035107 +58 26 36.740590982;     ~;10.47 ; 9.37 ;     ~; 7.927;G2IV           ; 164;   0
568;VY PER     ;V* VY Per                ;cC*;02 27 35.4624890063 +58 55 01.756435189;     ~;12.48 ;11.32 ;     ~; 9.246;F7.5Ib         ;  90;   0
569;VY CYG     ;V* VY Cyg                ;cC*;21 04 16.6365398971 +39 58 20.104204896;11.74 ;10.66 ; 9.56 ;     ~; 8.090;F5.5-G0.5Ib    ; 119;   0
570;VY CMI     ;V* VY CMi                ;RR*;07 56 05.3072115961 +04 15 27.918576368;     ~;     ~;14.60 ;     ~;     ~;~              ;  10;   0
571;VY CEN     ;V* VY Cen                ;LP*;11 31 14.4509519819 -51 26 22.482490362;     ~;11.56 ;10.17 ;     ~;     ~;~              ;   0;   0
572;VY CAR     ;V* VY Car                ;cC*;10 44 32.6908129391 -57 33 55.326019898; 8.12 ; 7.70 ; 6.87 ;     ~; 6.299;F7Iab/b        ; 189;   0
573;VZ CMA     ;V* VZ CMa                ;cC*;07 26 28.2447083234 -25 55 36.415556319;     ~;10.33 ; 9.46 ; 9.56 ;     ~;F5II           ;  70;   0
574;VY SGR     ;V* VY Sgr                ;cC*;18 12 04.5660706883 -20 42 14.465377948;     ~;12.70 ;11.36 ;     ~;     ~;F6             ;  62;   0
575;VZ MON     ;V* VZ Mon                ;cC*;06 31 14.5471337561 +11 51 01.243898963;     ~;15.20 ;     ~;     ~;     ~;~              ;  22;   0
576;VZ CYG     ;V* VZ Cyg                ;cC*;21 51 41.4415144699 +43 08 02.538005456;     ~;10.02 ; 8.60 ;     ~; 7.948;G0             ; 149;   0
577;W GEM      ;V* W Gem                 ;cC*;06 34 57.4524314200 +15 19 49.698631280; 7.79 ; 7.25 ; 6.54 ;     ~; 5.908;F5-G1          ; 197;   0
578;VZ PUP     ;V* VZ Pup                ;cC*;07 38 35.23836 -28 29 58.5972          ;     ~; 9.73 ; 8.98 ;     ~;     ~;F7.5           ; 123;   0
579;WY SCO     ;V* WY Sco                ;Ce*;16 33 20.4090209759 -26 11 14.915016729;     ~;     ~;     ~;     ~;     ~;~              ;  12;   0
580;WY PUP     ;V* WY Pup                ;cC*;07 58 05.1408749359 -24 02 30.359873208;     ~;11.61 ;10.87 ;     ~;     ~;F7             ;  56;   0
581;WX PUP     ;V* WX Pup                ;cC*;07 41 59.0037016642 -25 52 34.251072461;     ~; 9.99 ; 9.09 ;     ~; 7.944;G0             ;  93;   0
582;WW PUP     ;V* WW Pup                ;cC*;07 41 54.8903717229 -21 07 59.053273725;     ~;11.36 ;10.53 ;     ~;     ~;F5             ;  66;   0
583;WW MON     ;V* WW Mon                ;cC*;06 33 37.1817036531 +09 12 12.840769070;     ~;13.65 ;     ~;     ~;     ~;F6             ;  54;   0
584;WW CMA     ;V* WW CMa                ;EB*;06 19 50.9044036280 -21 39 07.034385915;     ~; 9.85 ; 9.282;     ~;     ~;G0V+G6V        ;  11;   0
585;WW CAR     ;V* WW Car                ;cC*;10 51 35.7677510149 -59 23 06.013618803;     ~;10.55 ; 9.68 ;     ~;     ~;F9II+?         ;  60;   1
586;W VIR      ;V* W Vir                 ;WV*;13 26 01.9928122043 -03 22 43.429880244;     ~;10.33 ; 9.46 ; 9.29 ; 9.393;F2Ibe          ; 279;   0
587;X CRU      ;V* X Cru                 ;cC*;12 46 22.2789674072 -59 07 29.014282694;     ~; 8.97 ; 8.10 ;     ~;     ~;G0/2Ib         ;  76;   0
588;WZ SGR     ;V* WZ Sgr                ;cC*;18 16 59.7158915244 -19 04 32.989119557;     ~; 9.10 ; 7.45 ;     ~;     ~;F7(III)        ; 224;   0
589;WZ PUP     ;V* WZ Pup                ;cC*;08 00 22.9113343060 -23 42 11.438413538;     ~;10.53 ;10.30 ;     ~; 9.413;G0             ;  63;   0
590;WZ CAR     ;V* WZ Car                ;cC*;10 55 18.7272542108 -60 56 23.951208594;     ~;10.40 ; 9.37 ;     ~;     ~;F8             ; 125;   0
591;X CYG      ;V* X Cyg                 ;cC*;20 43 24.1918662954 +35 35 16.075732392; 8.69 ; 7.70 ; 6.47 ;     ~; 5.241;F7Ib           ; 432;   0
592;X LAC      ;V* X Lac                 ;cC*;22 49 03.1806947647 +56 25 41.530855473;     ~; 9.21 ; 8.42 ;     ~;     ~;G5             ; 151;   0
593;X SCT      ;V* X Sct                 ;cC*;18 31 19.7479880040 -13 06 29.431188900;     ~;11.58 ;10.07 ; 9.99 ; 8.638;G5III          ;  83;   0
594;X PUP      ;V* X Pup                 ;cC*;07 32 47.0329487912 -20 54 34.881653031;     ~; 9.56 ; 8.46 ;     ~; 7.143;K0             ; 159;   0
595;X VUL      ;V* X Vul                 ;cC*;19 57 28.6055727685 +26 33 23.281913956;     ~;10.16 ; 8.87 ;     ~; 7.147;F8Ia           ; 147;   0
596;XX CAR     ;V* XX Car                ;cC*;10 57 09.2151822886 -65 08 05.117664936;     ~;10.46 ; 9.42 ; 8.8  ; 8.708;G0             ;  87;   0
597;XX SGR     ;V* XX Sgr                ;Ce*;18 24 44.5007279272 -16 47 49.819587940;     ~; 9.59 ; 8.41 ;     ~;     ~;F7/8II         ; 100;   0
598;XX MON     ;V* XX Mon                ;cC*;06 52 12.1699029474 -02 48 25.053620849;     ~;12.81 ;11.52 ;     ~;     ~;F6             ;  63;   0
599;XX CEN     ;V* XX Cen                ;cC*;13 40 18.6446943543 -57 36 47.444003198;     ~; 8.72 ; 7.30 ;     ~; 6.747;F7/8II         ; 165;   0
600;XY CAS     ;V* XY Cas                ;cC*;00 49 53.2639168236 +60 07 38.578594168;     ~;11.00 ; 9.97 ;     ~;     ~;G0Ib           ; 100;   0
601;XY CAR     ;V* XY Car                ;cC*;11 02 16.0640304497 -64 15 46.464730450;     ~;10.69 ; 9.49 ;     ~;     ~;G5             ;  85;   0
602;XX VIR     ;V* XX Vir                ;WV*;14 16 48.5934767648 -06 17 15.063650684;     ~;12.38 ;11.65 ;     ~;     ~;F6             ;  61;   0
603;XX VEL     ;V* XX Vel                ;cC*;10 36 08.6021831442 -56 02 35.667174130;     ~;12.00 ;10.64 ;     ~;     ~;~              ;  50;   0
604;Y AUR      ;V* Y Aur                 ;cC*;05 28 39.2385752080 +42 26 15.843671650;     ~;10.53 ; 9.74 ;     ~;     ~;F5             ;  82;   0
605;XZ CMA     ;V* XZ CMa                ;Ce*;07 00 24.8328224100 -20 25 54.131989035;     ~;     ~;13.01 ;     ~;     ~;~              ;  24;   0
606;XZ CAR     ;V* XZ Car                ;cC*;11 04 13.4721581542 -60 58 47.731144433;11.38 ;10.11 ; 8.67 ;     ~;     ~;K5             ;  87;   0
607;Y COM      ;V* Y Com                 ;LP*;13 06 34.3654216278 +18 58 21.164107647;     ~;13.90 ;     ~;     ~;     ~;~              ;   2;   0
608;Y CAR      ;V* Y Car                 ;cC*;10 33 10.8510871240 -58 29 55.077771331;     ~; 8.75 ; 8.16 ;     ~;     ~;F0/3           ; 124;   0
609;Y LAC      ;V* Y Lac                 ;cC*;22 09 02.8999210254 +51 02 45.083169239;     ~; 9.79 ; 9.13 ;     ~; 8.292;F8             ; 152;   0
610;Y OPH      ;V* Y Oph                 ;cC*;17 52 38.7021149511 -06 08 36.875163136; 8.62 ; 7.61 ; 6.21 ;     ~;     ~;G3Ia           ; 336;   0
611;Y SCT      ;V* Y Sct                 ;cC*;18 38 03.3063888003 -08 22 08.162027440;     ~;11.2  ; 9.69 ;     ~;     ~;F7             ; 112;   0
612;YZ AUR     ;V* YZ Aur                ;cC*;05 15 21.9827122069 +40 04 40.883139360;     ~;11.77 ;10.24 ;     ~;     ~;G5             ;  90;   0
613;YY MON     ;V* YY Mon                ;cC*;06 54 11.4373499795 -07 39 51.771695708;     ~;14.85 ;     ~;     ~;     ~;~              ;  21;   0
614;YZ CAR     ;V* YZ Car                ;cC*;10 28 16.8451607919 -59 21 00.677571694; 9.79 ; 9.11 ; 8.24 ;     ~; 7.443;G5             ; 110;   0
615;YZ SGR     ;V* YZ Sgr                ;cC*;18 49 28.5888099835 -16 43 22.896473612; 8.49 ; 7.91 ; 7.02 ;     ~; 6.207;G2Ib           ; 149;   0
616;Z SCT      ;V* Z Sct                 ;cC*;18 42 57.2739188979 -05 49 15.250916925;     ~;10.89 ; 9.60 ;     ~; 8.077;G0-M0          ; 105;   0
617;Z LAC      ;V* Z Lac                 ;cC*;22 40 52.1456104219 +56 49 46.083960286;     ~; 9.71 ; 8.57 ;     ~; 7.164;F6Ib           ; 204;   0
618;X SGR      ;V* X Sgr                 ;cC*;17 47 33.6241002643 -27 49 50.848981593; 5.84 ; 5.34 ; 4.54 ;     ~; 3.661;F7II           ; 302;   0
619;BETA DOR   ;* bet Dor                ;cC*;05 33 37.5125319201 -62 29 23.323100433; 5.13 ; 4.58 ; 3.76 ; 3.55 ; 3.12 ;F8/G0Ib        ; 339;   0
620;W SGR      ;* gam01 Sgr              ;cC*;18 05 01.2265190155 -29 34 48.303215344; 5.99 ; 5.47 ; 4.69 ;     ~; 3.869;G0Ib/II        ; 322;   0
621;Y SGR      ;V* Y Sgr                 ;cC*;18 21 22.9864295 -18 51 36.001763      ; 7.31 ; 6.69 ; 5.75 ;     ~; 4.810;F8II           ; 265;   0
622;ZETA GEM   ;* zet Gem                ;cC*;07 04 06.5307903 +20 34 13.073871      ; 5.20 ; 4.58 ; 3.79 ;     ~; 3.082;G1Ib           ; 526;   0
623;DELTA CEP  ;* del Cep                ;cC*;22 29 10.2650184 +58 24 54.713856      ; 4.71 ; 4.35 ; 3.75 ;     ~; 3.219;F5Iab:+B7-8    ; 670;   0
624;FF AQL     ;HD 176155                ;cC*;18 58 14.7482217777 +17 21 39.295590199; 6.61 ; 6.18 ; 5.38 ;     ~;     ~;F6Ib           ; 337;   0
625;L CAR      ;* L Car                  ;*  ;10 22 58.1460612 -66 54 05.390302      ; 4.35 ; 4.86 ; 4.99 ;     ~;     ~;B8V            ;  99;   0
626;RT AUR     ;* 48 Aur                 ;cC*;06 28 34.0875086 +30 29 34.914168      ; 6.73 ; 6.23 ; 5.55 ;     ~; 4.777;F5.5-G0Ib      ; 355;   0
627;T VUL      ;V* T Vul                 ;cC*;20 51 28.2382502598 +28 15 01.816605372; 6.89 ; 6.49 ; 5.77 ;     ~; 5.061;F5Ib+A0.8V     ; 312;   0
628;AD GEM     ;V* AD Gem                ;cC*;06 43 07.5116892124 +20 56 20.801766765;     ~;10.42 ; 9.80 ;     ~; 9.044;F5             ;  89;   0
629;AK CEP     ;V* AK Cep                ;cC*;22 28 50.0878651135 +58 12 39.397509196;     ~;12.53 ;13.17 ;     ~; 9.656;F8             ;  69;   0
630;AW PER     ;V* AW Per                ;cC*;04 47 46.3148651549 +36 43 22.033445140;     ~; 8.46 ; 7.51 ;     ~; 6.200;F0+B6:         ; 198;   1
631;BG LAC     ;V* BG Lac                ;cC*;22 00 25.1468672171 +43 26 43.329596739;     ~; 9.33 ; 8.59 ;     ~; 7.793;G0.7           ; 132;   0
632;BK AUR     ;V* BK Aur                ;cC*;05 10 40.2294213078 +49 41 15.400106615;     ~;10.40 ; 9.42 ;     ~;     ~;F8             ;  68;   0
633;BR VUL     ;V* BR Vul                ;cC*;19 46 35.1881755029 +22 53 23.211261651;     ~;11.85 ;10.65 ;     ~; 9.019;~              ;  34;   0
634;FM CAS     ;V* FM Cas                ;cC*;00 14 28.2413359663 +56 15 10.573326187;     ~;10.15 ; 9.16 ;     ~; 7.984;F7.5Ib         ; 101;   0
635;LS PUP     ;V* LS Pup                ;Ce*;07 58 59.2197671330 -29 18 28.357057956;     ~;11.75 ;10.59 ; 9.88 ; 8.933;~              ;  72;   0
636;RS ORI     ;V* RS Ori                ;cC*;06 22 13.1927222060 +14 40 41.253685672;     ~; 9.34 ; 8.42 ;     ~; 7.270;F4Ib           ; 124;   0
637;SV PER     ;V* SV Per                ;cC*;04 49 47.9361288171 +42 17 22.964422403;     ~; 9.74 ; 8.86 ;     ~;     ~;F6-G1          ; 129;   0
638;SX PER     ;V* SX Per                ;cC*;04 17 06.0663076259 +41 43 54.615478803;     ~;     ~;     ~;     ~;     ~;G              ;  61;   0
639;TZ MON     ;V* TZ Mon                ;cC*;06 58 00.9347614861 -00 22 33.463317717;     ~;11.8  ;     ~;     ~;     ~;F6             ;  76;   0
640;U NOR      ;V* U Nor                 ;cC*;15 42 20.9180199642 -55 18 42.941765163;     ~;10.68 ; 9.22 ;     ~;     ~;F8Ib/II        ; 122;   0
641;V1954 SGR  ;V* V1954 Sgr             ;cC*;18 15 26.2657709713 -20 37 46.354337942;     ~;12.28 ;10.83 ;     ~;     ~;K              ;  30;   0
642;V340 ARA   ;V* V340 Ara              ;cC*;16 45 19.1122888146 -51 20 33.394152547;     ~;11.39 ;10.03 ;     ~;     ~;~              ;  60;   0
643;V402 CYG   ;V* V402 Cyg              ;cC*;20 09 07.7598168773 +37 09 07.085085598;     ~;10.9  ; 9.87 ;     ~; 8.674;G0III          ;  81;   0
644;V508 MON   ;V* V508 Mon              ;cC*;06 47 09.3999270974 +03 58 01.550964840;     ~;11.50 ;10.53 ;     ~;     ~;~              ;  60;   0
645;V538 CYG   ;V* V538 Cyg              ;cC*;21 37 28.1283118016 +51 45 44.944083633;     ~;11.65 ;10.50 ;     ~;     ~;~              ;  42;   0
646;VX CYG     ;V* VX Cyg                ;cC*;20 57 20.8298754013 +40 10 39.008480366;     ~;11.6  ;10.08 ;     ~; 8.187;F5e-G2I-II     ; 115;   1
647;CD CYG     ;V* CD Cyg                ;cC*;20 04 26.5612846895 +34 06 44.187255455;     ~; 9.35 ; 8.35 ;     ~;     ~;F8-G5Iab-Ib    ; 179;   0
648;S NOR      ;V* S Nor                 ;cC*;16 18 51.8313333962 -57 53 59.253617873; 8.15 ; 7.49 ; 6.49 ;     ~; 5.427;F8/G0Ib        ; 332;   1
649;CE CAS     ;V* CE Cas                ;** ;23 58 09.313 +61 12 49.26              ;     ~;     ~;10.63 ;     ~;     ~;F9Ib+F8Ib      ; 125;   0
650;V CEN      ;V* V Cen                 ;cC*;14 32 33.0828020969 -56 53 15.774776152; 8.44 ; 7.84 ; 6.93 ;     ~; 5.798;F5Ib/II        ; 231;   0
651;V367 SCT   ;V* V367 Sct              ;cC*;18 33 35.2353194475 -10 25 38.130057884;     ~;13.34 ;11.580;     ~;     ~;~              ; 150;   0
652;CF CAS     ;V* CF Cas                ;cC*;23 58 17.9757306390 +61 13 15.821709555;     ~;12.72 ;10.80 ;     ~; 9.700;F8Ibv          ; 214;   0
653;CV MON     ;V* CV Mon                ;cC*;06 37 04.8448658715 +03 03 50.276498200;     ~;11.32 ; 9.90 ;     ~; 8.631;~              ; 210;   1
654;TW NOR     ;V* TW Nor                ;cC*;16 04 55.2266686530 -51 57 12.652767620;     ~;13.67 ;11.17 ;     ~;     ~;~              ; 138;   0
================================================================================

<hr><p>
