index ;typed ident;       identifier        ;typ;       coord1 (ICRS,J2000/2000)        ;Mag U ;Mag B ;Mag V ;Mag R ;Mag I ;  spec. type   ;#bib;#not
70 ;BG CRU     ;* 35 Cru                 ;cC*;12 31 40.3301092383 -59 25 26.122369782; 6.60 ; 6.19 ; 5.53 ;     ~;     ~;F7Ib/II        ; 120;   0
71 ;BH VEL     ;V* BH Vel                ;cC*;08 29 48.5118431756 -41 13 25.656107773;     ~;     ~;     ~;     ~;     ~;~              ;  12;   0
72 ;BH TUC     ;V* BH Tuc                ;cC*;01 20 07.7206975647 -72 54 18.592610046;     ~;13.50 ;14.199;     ~;13.315;~              ;   7;   0
73 ;BH OPH     ;V* BH Oph                ;WV*;18 15 50.5427009075 +12 05 44.082950227;     ~;12.29 ;11.84 ;     ~;     ~;F7.2e          ;  25;   0
74 ;BG VEL     ;V* BG Vel                ;cC*;09 08 15.7486417373 -51 26 10.604860930;     ~; 8.82 ; 7.69 ;     ~; 6.337;F7/8II         ;  97;   0
75 ;BM PUP     ;V* BM Pup                ;cC*;07 50 03.1260632218 -28 15 18.566643478;     ~;11.93 ;10.83 ;     ~;     ~;~              ;  31;   0
76 ;BM PER     ;V* BM Per                ;cC*;04 29 39.3888285450 +48 25 19.102535927;     ~;11.56 ;10.06 ;     ~;     ~;K5             ;  59;   0
77 ;BL HER     ;V* BL Her                ;WV*;18 01 09.2241552984 +19 14 56.695123489;     ~;10.54 ; 9.70 ;     ~;     ~;F0             ; 153;   0
78 ;BK CEN     ;V* BK Cen                ;Ce*;11 49 16.0151170413 -63 04 42.903648391;     ~;11.04 ;10.19 ;     ~;     ~;G5             ;  84;   0
79 ;BQ CRA     ;V* BQ CrA                ;WV*;18 37 01.3851614841 -38 04 34.512323693;     ~;     ~;     ~;     ~;     ~;~              ;  10;   0
80 ;BP CIR     ;V* BP Cir                ;cC*;14 46 41.9801089174 -61 27 42.990284227;     ~; 8.12 ; 7.52 ;     ~;     ~;F2/3II+B6V     ;  72;   0
81 ;BP CAS     ;V* BP Cas                ;cC*;01 15 01.0945574477 +65 35 57.855518876;     ~;11.90 ;10.80 ;     ~;     ~;F6             ;  60;   0
82 ;BN PUP     ;V* BN Pup                ;cC*;08 06 21.4748690781 -30 05 48.768197196;     ~;10.99 ; 9.75 ; 8.97 ; 8.981;G4             ;  99;   1
83 ;BQ VEL     ;V* BQ Vel                ;Ce*;08 22 06.4975386143 -47 18 14.246894029;     ~;     ~;     ~;     ~;     ~;~              ;   7;   0
84 ;BQ SER     ;V* BQ Ser                ;Ce*;18 36 15.9376665154 +04 23 53.692279873;     ~;10.49 ; 9.21 ;     ~;     ~;F5III          ;  94;   0
85 ;BX SCT     ;V* BX Sct                ;cC*;18 50 09.2370270825 -04 22 05.210846612;     ~;14.23 ;     ~;     ~; 9.723;F6             ;  41;   0
86 ;BX DEL     ;V* BX Del                ;WV*;20 21 18.9700344808 +18 26 16.297382039;     ~;12.35 ;11.99 ;     ~;     ~;F5             ;  39;   0
87 ;BX CRU     ;V* BX Cru                ;cC*;12 50 38.6284674866 -63 04 34.405987502;     ~;     ~;     ~;     ~;     ~;~              ;   9;   0
88 ;BW GEM     ;V* BW Gem                ;cC*;06 15 59.8873886298 +23 44 50.972092141;     ~;13.18 ;12.01 ;11.66 ;     ~;~              ;  24;   0
89 ;BV MON     ;V* BV Mon                ;cC*;06 56 51.0856174304 +04 30 58.275526470;     ~;12.44 ;11.38 ;     ~;     ~;~              ;  35;   0
90 ;BV CAS     ;V* BV Cas                ;cC*;01 30 01.1847554689 +62 17 02.651229337;     ~;14.01 ;     ~;     ~;     ~;~              ;  23;   0
91 ;CD CAS     ;V* CD Cas                ;cC*;23 45 02.6274815930 +63 00 13.868911777;     ~;11.62 ;10.64 ;     ~;     ~;F6-G5          ;  59;   0
92 ;CC LYR     ;V* CC Lyr                ;WV*;18 33 57.4124417680 +31 38 24.187628709;     ~;12.98 ;12.46 ;     ~;     ~;hF4mA:CH+1     ;  42;   0
93 ;CC CAR     ;V* CC Car                ;cC*;10 54 26.8640503192 -61 20 49.583642593;     ~;12.76 ;11.65 ;     ~;     ~;~              ;  26;   0
94 ;BZ TUC     ;V* BZ Tuc                ;cC*;00 41 43.4484060953 -73 43 23.886984060;     ~;12.52 ;11.68 ;     ~;10.911;F8Ib           ;  65;   0
95 ;BZ CYG     ;V* BZ Cyg                ;cC*;20 45 59.7977146402 +45 18 25.046168919;     ~;11.8  ;10.2  ;     ~; 8.331;F7Ib-G4Ib:     ;  87;   0
96 ;BY CMA     ;V* BY CMa                ;Ce*;07 26 29.4310921915 -27 55 30.113136601;     ~;     ~;     ~;     ~;     ~;~              ;   7;   0
97 ;BY CAS     ;V* BY Cas                ;cC*;01 47 11.9193204766 +61 25 20.952299938;     ~;11.5  ;10.369;     ~;     ~;F5             ; 110;   0
98 ;CF CAR     ;V* CF Car                ;cC*;10 59 04.9163105601 -60 16 43.863055379;     ~;     ~;     ~;     ~;     ~;~              ;  15;   0
99 ;CE PUP     ;V* CE Pup                ;cC*;08 14 08.0391488919 -42 34 05.358820198;     ~;     ~;     ~;     ~;     ~;~              ;  31;   0
100;CG CAS     ;V* CG Cas                ;cC*;00 00 59.2384113995 +60 57 32.432020899;     ~;12.70 ;11.28 ;     ~;     ~;F5             ;  78;   0
101;CK SCT     ;V* CK Sct                ;cC*;18 41 00.6632019519 -06 05 50.009798102;     ~;12.59 ;10.72 ;     ~;     ~;G              ;  62;   0
102;CK PUP     ;V* CK Pup                ;Ce*;07 27 18.8849423184 -25 47 07.304816896;     ~;     ~;     ~;     ~;     ~;~              ;  19;   0
103;CK CAM     ;V* CK Cam                ;cC*;05 06 31.6431013079 +55 21 12.703126896;     ~; 8.56 ; 7.59 ;     ~;     ~;G5             ;  44;   0
104;CI PER     ;V* CI Per                ;Ce*;02 05 02.1930515775 +57 08 34.562804941;     ~;     ~;     ~;     ~;     ~;~              ;  27;   0
105;CH CAS     ;V* CH Cas                ;cC*;23 22 28.4387974362 +62 45 25.740906878;     ~;12.57 ;10.79 ;     ~;     ~;F3Ibp          ;  60;   0
106;CN TAU     ;V* CN Tau                ;cC*;05 58 09.4169154510 +28 02 33.497032752;     ~;     ~;     ~;12.32 ;     ~;~              ;  12;   0
107;CN SCT     ;V* CN Sct                ;cC*;18 42 30.4903731576 -04 19 50.353845403;     ~;14.58 ;     ~;     ~;     ~;~              ;  37;   0
108;CN LYR     ;V* CN Lyr                ;RR*;18 41 15.9455510880 +28 43 21.180262324;     ~;11.93 ;11.38 ;     ~;     ~;F5             ;  75;   0
109;CN CMA     ;V* CN CMa                ;WV*;07 09 34.5840353515 -18 33 47.853576246;     ~;     ~;     ~;     ~;     ~;~              ;  12;   0
110;CN CEP     ;V* CN Cep                ;cC*;23 25 34.7917448230 +64 47 25.501540655;     ~;14.18 ;     ~;     ~;     ~;~              ;  29;   0
111;CN CAR     ;V* CN Car                ;cC*;10 15 32.8660303371 -58 10 28.017093664;     ~;11.77 ;10.74 ;     ~; 9.350;~              ;  55;   0
112;CM SCT     ;V* CM Sct                ;cC*;18 42 26.8208730944 -05 20 27.045721232;     ~;11.93 ;10.93 ;     ~; 9.406;~              ;  66;   0
113;CM PUP     ;V* CM Pup                ;cC*;07 30 42.3886209277 -20 27 07.173504486;     ~;     ~;     ~;     ~;     ~;~              ;   6;   0
114;CO VEL     ;V* CO Vel                ;cC*;08 29 41.3139621287 -40 20 02.031314935;     ~;     ~;     ~;     ~;     ~;~              ;   9;   0
115;CO PUP     ;V* CO Pup                ;WV*;08 26 11.9558350867 -30 17 08.328985204;     ~;11.86 ;10.74 ;     ~;     ~;~              ;  22;   0
116;CO AUR     ;V* CO Aur                ;cC*;06 00 28.5064814052 +35 18 43.856781674;     ~; 8.34 ; 7.73 ;     ~;     ~;F5Ib           ;  83;   0
117;CR CEP     ;V* CR Cep                ;cC*;22 46 24.7705225443 +59 26 31.922218882;     ~;10.94 ; 9.64 ;     ~; 7.931;G0             ;  78;   0
118;CR CAR     ;V* CR Car                ;cC*;10 32 54.0752677019 -58 31 15.630051141;     ~;12.85 ;     ~;     ~;     ~;~              ;  41;   0
119;CQ SCO     ;V* CQ Sco                ;WV*;17 49 54.9246014937 -40 19 53.150014721;     ~;13.16 ;     ~;     ~;     ~;~              ;  15;   0
120;CQ CAR     ;V* CQ Car                ;cC*;10 31 20.1091256356 -59 58 48.066085313;     ~;     ~;     ~;     ~;     ~;~              ;  18;   0
121;CP VEL     ;V* CP Vel                ;cC*;08 48 10.4790181516 -48 39 33.006518529;     ~;14.35 ;     ~;     ~;10.757;~              ;  23;   0
122;CP CMA     ;V* CP CMa                ;Ce*;07 14 54.3521616739 -22 14 09.127166332;     ~;     ~;     ~;     ~;     ~;~              ;   8;   0
123;CP CEP     ;V* CP Cep                ;cC*;21 57 52.6912818654 +56 09 50.038775828;     ~;12.29 ;10.58 ;     ~; 8.788;F5Ib           ;  88;   0
124;CS VEL     ;V* CS Vel                ;cC*;09 41 10.2609558071 -53 48 57.782655270;     ~;12.46 ;11.24 ;     ~;10.078;~              ;  88;   0
125;CS ORI     ;V* CS Ori                ;cC*;06 07 25.4652004933 +11 09 07.113683832;     ~;11.96 ;11.29 ;     ~;     ~;F5             ;  65;   0
126;CS MON     ;V* CS Mon                ;Ce*;06 32 10.9439913787 +06 39 11.029554207;     ~;12.24 ;11.25 ;10.78 ;     ~;~              ;  45;   0
127;CS CAS     ;V* CS Cas                ;WV*;23 50 14.2576911311 +51 23 58.766365558;     ~;12.02 ;     ~;     ~;     ~;~              ;  24;   0
128;CS CAR     ;V* CS Car                ;cC*;10 34 37.1812228569 -58 01 22.527365102;     ~;     ~;     ~;     ~;     ~;~              ;  17;   0
129;CR SER     ;V* CR Ser                ;cC*;18 10 02.1321123582 -13 32 45.475786862;     ~;12.90 ;10.84 ;     ~;     ~;G5             ;  57;   0
130;CR ORI     ;V* CR Ori                ;cC*;06 05 44.7233260757 +13 14 23.957029410;     ~;12.97 ;     ~;     ~;     ~;F7             ;  40;   0
131;CY CAR     ;V* CY Car                ;cC*;10 57 50.6716926008 -60 44 31.523323540;     ~;10.67 ; 9.89 ;     ~;     ~;G0             ;  54;   0
132;CY AUR     ;V* CY Aur                ;cC*;04 57 40.0807277112 +46 05 33.112390660;     ~;13.44 ;     ~;     ~;     ~;~              ;  42;   0
133;CX VEL     ;V* CX Vel                ;cC*;09 06 38.0991298313 -52 21 26.879277717;     ~;     ~;     ~;     ~; 9.631;~              ;  31;   0
134;CV ORI     ;V* CV Ori                ;cC*;06 12 21.9626569693 +13 38 11.751408638;     ~;     ~;     ~;     ~;     ~;~              ;   8;   0
135;CU ORI     ;V* CU Ori                ;cC*;06 11 25.1264364427 +11 48 00.136456884;     ~;     ~;     ~;     ~;     ~;~              ;  10;   0
136;CU MON     ;V* CU Mon                ;cC*;06 32 46.7955605374 +00 02 35.316926303;     ~;15.02 ;     ~;     ~;     ~;~              ;  42;   0
137;CT CAS     ;V* CT Cas                ;cC*;00 20 03.0752406462 +63 10 47.253825532;     ~;13.58 ;     ~;     ~;     ~;~              ;  20;   0
138;CT CAR     ;V* CT Car                ;cC*;10 36 55.7698529186 -61 34 52.769994708;     ~;12.87 ;11.55 ;10.73 ;     ~;~              ;  46;   0
139;DD VEL     ;V* DD Vel                ;WV*;09 12 09.6340277622 -50 22 33.612960439;     ~;     ~;     ~;     ~;     ~;~              ;  29;   0
140;DD CAS     ;V* DD Cas                ;cC*;23 57 34.9599200756 +62 43 05.683891313;     ~;10.95 ; 9.84 ;     ~; 8.516;F7             ; 107;   0
141;CZ CAS     ;V* CZ Cas                ;cC*;23 39 27.2938407471 +62 22 19.706069429;     ~;13.18 ;     ~;     ~;10.083;F6             ;  37;   0
142;CY VEL     ;V* CY Vel                ;WV*;09 08 24.1490941473 -53 29 40.534479194;     ~;     ~;     ~;     ~;     ~;~              ;   6;   0
143;CY CAS     ;V* CY Cas                ;cC*;23 29 12.7619630267 +63 22 27.487447379;     ~;13.48 ;11.67 ;     ~; 9.627;G1-2Ib         ;  58;   0
144;DG VUL     ;V* DG Vul                ;Ce*;19 58 40.1683185429 +27 41 01.269877569;     ~;13.08 ;11.52 ;     ~;     ~;~              ;  36;   0
145;DG SGE     ;V* DG Sge                ;cC*;19 40 35.1191163569 +19 17 08.085309596;     ~;15.15 ;     ~;     ~;     ~;~              ;  21;   0
146;DF ORI     ;V* DF Ori                ;cC*;06 24 04.1463108821 +11 42 31.815411010;     ~;     ~;     ~;     ~;     ~;~              ;  21;   0
147;DF LAC     ;V* DF Lac                ;cC*;22 21 16.7933621316 +54 31 55.401807719;     ~;13.08 ;     ~;     ~;     ~;F6Ibp          ;  29;   0
148;DF CAS     ;V* DF Cas                ;cC*;02 44 43.3152895263 +61 27 52.921298633;     ~;11.80 ;10.74 ;     ~;     ~;F8             ;  64;   0
149;DK VEL     ;V* DK Vel                ;cC*;09 17 16.7189324814 -53 05 05.505768437;     ~;11.49 ;10.72 ;     ~;     ~;~              ;  26;   0
150;DT CAS     ;V* DT Cas                ;cC*;23 34 59.6175261046 +59 21 29.368559844;     ~;14.15 ;     ~;     ~;     ~;~              ;   6;   0
